Abnormality of body height	Abnormality of body height
Multicystic dysplastic kidney	Multicystic kidney dysplasia
Multicystic kidneys	Multicystic kidney dysplasia
Multicystic renal dysplasia	Multicystic kidney dysplasia
Inheritance	Mode of inheritance
Autosomal dominant	Autosomal dominant inheritance
Autosomal dominant form	Autosomal dominant inheritance
Autosomal dominant type	Autosomal dominant inheritance
Autosomal recessive	Autosomal recessive inheritance
Autosomal recessive form	Autosomal recessive inheritance
Autosomal recessive predisposition	Autosomal recessive inheritance
Poor bladder function	Functional abnormality of the bladder
Frequent urinary tract infections	Recurrent urinary tract infections
Urinary infection	Recurrent urinary tract infections
Urinary tract infection	Recurrent urinary tract infections
Urinary tract infections	Recurrent urinary tract infections
Urinary tract infections, recurrent	Recurrent urinary tract infections
Lack of bladder control due to nervous system injury	Neurogenic bladder
Overactive bladder	Urinary urgency
Overactive bladder syndrome	Urinary urgency
Urgency frequency syndrome	Urinary urgency
Urinary urgency	Urinary urgency
Hypoplastic uterus	Hypoplasia of the uterus
Rudimentary uterus	Hypoplasia of the uterus
Small uterus	Hypoplasia of the uterus
Underdeveloped uterus	Hypoplasia of the uterus
Bladder diverticula	Bladder diverticulum
Increased post-void residual urine volume	Urinary retention
Nycturia	Nocturia
Difficulty with flow	Urinary hesitancy
Bladder incontinence	Urinary incontinence
Loss of bladder control	Urinary incontinence
Inflammation of the prostate	Prostatitis
Decreased function of male gonad	Male hypogonadism
Absent sperm in semen	Azoospermia
Cryptorchism	Cryptorchidism
Undescended testes	Cryptorchidism
Undescended testis	Cryptorchidism
Testicular degeneration	Testicular atrophy
Gonadoblastoma, male	Testicular gonadoblastoma
Ambiguous genitalia in males	Ambiguous genitalia, male
Hydrocele	Hydrocele testis
Testicular hydrocele	Hydrocele testis
Abnormality of the testis	Abnormality of the testis
Anomaly of the testes	Abnormality of the testis
Abnormality of the penis	Abnormality of the penis
Enlarged penis	Long penis
Long penis	Long penis
Absent external genitalia	Absent external genitalia
Hypogonadism, hypogonadotropic	Hypogonadotrophic hypogonadism
Isolated hypogonadotropic hypogonadism	Hypogonadotrophic hypogonadism
Low gonadotropins (secondary hypogonadism)	Hypogonadotrophic hypogonadism
Hypoplastic scrotum	Scrotal hypoplasia
Smaller than typical growth of scrotum	Scrotal hypoplasia
Hypospadia	Hypospadias
Cleft of scrotum	Bifid scrotum
Scrotal cleft	Bifid scrotum
Overriding scrotum	Shawl scrotum
Scrotum surrounds penis	Shawl scrotum
Hypoplastic male genitalia	Hypoplastic male external genitalia
Small male external genitalia	Hypoplastic male external genitalia
Underdeveloped male genitalia	Hypoplastic male external genitalia
Large testicles	Macroorchidism
Large testis	Macroorchidism
Short penis	Micropenis
Small penis	Micropenis
Abnormal female external genitalia	Abnormality of female external genitalia
