alpha-1-B glycoprotein	A1BG
A1BG antisense RNA 1	A1BG-AS1
APOBEC1 complementation factor	A1CF
alpha-2-macroglobulin	A2M
A2M antisense RNA 1	A2M-AS1
alpha-2-macroglobulin like 1	A2ML1
A2ML1 antisense RNA 1	A2ML1-AS1
A2ML1 antisense RNA 2	A2ML1-AS2
alpha-2-macroglobulin pseudogene 1	A2MP1
alpha 1,3-galactosyltransferase 2	A3GALT2
alpha 1,4-galactosyltransferase (P blood group)	A4GALT
alpha-1,4-N-acetylglucosaminyltransferase	A4GNT
aladin WD repeat nucleoporin	AAAS
acetoacetyl-CoA synthetase	AACS
acetoacetyl-CoA synthetase pseudogene 1	AACSP1
arylacetamide deacetylase	AADAC
arylacetamide deacetylase like 2	AADACL2
AADACL2 antisense RNA 1	AADACL2-AS1
arylacetamide deacetylase like 3	AADACL3
arylacetamide deacetylase like 4	AADACL4
arylacetamide deacetylase pseudogene 1	AADACP1
aminoadipate aminotransferase	AADAT
alpha and gamma adaptin binding protein	AAGAB
AP2 associated kinase 1	AAK1
adipogenesis associated Mth938 domain containing	AAMDC
angio associated migratory cell protein	AAMP
aralkylamine N-acetyltransferase	AANAT
AAR2 splicing factor	AAR2
alanine and arginine rich domain containing protein	AARD
alanyl-tRNA synthetase	AARS
alanyl-tRNA synthetase 2, mitochondrial	AARS2
alanyl-tRNA synthetase domain containing 1	AARSD1
alanyl-tRNA synthetase pseudogene 1	AARSP1
aminoadipate-semialdehyde dehydrogenase	AASDH
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT
aminoadipate-semialdehyde synthase	AASS
apoptosis associated transcript in bladder cancer	AATBC
apoptosis antagonizing transcription factor	AATF
apoptosis associated tyrosine kinase	AATK
adeno-associated virus integration site 1	AAVS1
apoptotic BCL2L1-antisense long non-coding RNA	ABALON
4-aminobutyrate aminotransferase	ABAT
ATP binding cassette subfamily A member 1	ABCA1
ATP binding cassette subfamily A member 2	ABCA2
ATP binding cassette subfamily A member 3	ABCA3
ATP binding cassette subfamily A member 4	ABCA4
ATP binding cassette subfamily A member 5	ABCA5
ATP binding cassette subfamily A member 6	ABCA6
